movieId,old_tmdb_id,new_tmdb_id,movielens_title,matched_title,title_similarity,release_date,popularity
604,538286,1256491,Criminals (1996),Criminals,1.0,,0.0261
4207,12773,427910,Navy Seals (1990),Navy Seals,1.0,1990-07-20,1.5543
30991,64699,63587,Powwow Highway (1989),Powwow Highway,1.0,1989-02-24,0.3007
58437,31653,369775,"Prince of Pennsylvania, The (1988)",The Prince of Pennsylvania,0.846,1988-10-10,0.2678
64167,12224,1161229,Dinotopia (2002),Dinotopia,1.0,2002-02-12,1.6375
78729,13989,1472855,24: Redemption (2008),24: Redemption,1.0,2008-11-28,0.8043
85293,40655,958532,"Bannen Way, The (2010)",The Bannen Way,0.714,2010-01-06,0.8051
88566,57403,1474601,Mysteries of Lisbon (Mistérios de Lisboa) (2010),Mysteries of Lisbon,0.667,2010-10-21,0.5453
90647,58423,417859,Puss in Boots (2011),Puss in Boots,1.0,2011-10-27,6.9899
91634,262475,400101,G.I. Joe: The Revenge of Cobra (1984),G.I. Joe: The Revenge of Cobra,1.0,1984-09-10,0.3297
92672,99254,1239360,Casey Jones (2011),Casey Jones,1.0,2011-09-18,1.6725
100157,95571,458877,Gayby (2012),Gayby,1.0,2012-09-17,1.6339
106032,166986,166981,Chastity Bites (2013),Chastity Bites,1.0,2013-06-01,1.8147
107137,18231,1292321,Star Trek: Of Gods and Men (2007),Star Trek: Of Gods and Men,1.0,2007-12-22,5.1478
109733,19492,1500440,Captain EO (1986),Captain EO,1.0,1986-09-12,0.9583
110042,394403,267864,Schwestern (2013),Schwestern,1.0,2013-06-13,0.1603
115673,589460,472231,So Be It (2014),So Be It,1.0,,0.369
117111,82400,375282,Pardon Us (1931),Pardon Us,1.0,1931-08-15,2.8056
118392,276690,1016414,Street Fighter: Assassin's Fist (2014),Street Fighter: Assassin's Fist The Movie,0.853,2014-05-24,0.5657
118704,29133,364442,Jimi Hendrix (1973),Jimi Hendrix,1.0,1973-06-14,1.8331
120134,151153,97638,Doggiewoggiez! Poochiewoochiez! (2012),Doggiewoggiez! Poochiewoochiez!,1.0,2012-01-27,0.4421
120867,241287,724779,Tropico (2013),Tropico,1.0,,1.1165
123573,72094,603409,Thorne: Scaredy Cat (2010),Thorne: Scaredycat,0.971,2010-10-31,0.7605
126042,162864,1607451,The 3 Rs (2011),The 3 Rs,1.0,2011-10-20,0.1076
126106,53285,547264,Beastie Boys: Sabotage (1994),Beastie Boys: Sabotage,1.0,1994-12-10,0.4733
128862,122023,9681,Casanova (2005),Casanova,1.0,2005-12-25,3.1412
128946,158382,1094904,Hotel Hell Vacation (2010),Hotel Hell Vacation,1.0,2010-02-07,0.4849
129651,160874,833253,The Third Reich: The Rise & Fall,Third Reich: The Rise & Fall - Part 2: The Fall,0.712,2010-06-02,1.7288
131050,80527,784993,Stargate SG-1 Children of the Gods - Final Cut (2009),Stargate SG-1: Children of the Gods,0.857,2009-07-21,0.8893
132524,283691,487186,Halo: Nightfall (2014),Halo: Nightfall,1.0,2014-02-05,0.9855
133197,237718,979227,How Sherlock Changed the World (2013),How Sherlock Changed the World,1.0,2013-10-01,4.165
136301,37668,659071,Mega Man (2010),Mega Man,1.0,,0.8941
136640,341984,1476801,Back to the Jurassic (2015),Back to the Jurassic,1.0,2015-06-02,0.9821
136762,12188,450788,Animals in Love (2007),Animals in Love,1.0,2007-12-19,0.1312
136882,109515,92198,Me Shivajiraje Bhosale Boltoy (2009),Me Shivajiraje Bhosale Boltoy,1.0,2009-04-03,0.2267
137859,65973,652754,Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans (1993),Dragon Ball Z Side Story: Plan to Eradicate the Saiyans,0.755,1993-09-23,2.6325
139140,191476,1264525,ONEDREAMRUSH (2010),42 One Dream Rush,0.828,2010-09-15,0.6208
140441,25180,844452,Anne Of Green Gables: The Continuing Story (2000),Anne of Green Gables: The Continuing Story,1.0,2000-07-23,0.3229
140481,278604,625651,"Family Guy Presents: Something, Something, Something, Dark Side (2009)","Family Guy Presents: Something, Something, Something, Dark Side",1.0,2009-12-22,0.6274
141402,329637,1450305,Star Trek: Renegades (2015),Star Trek: Renegades,1.0,2015-08-24,0.5657
141680,357130,1401224,Tom and Jerry (1955),Tom and Jerry,1.0,,0.2002
141763,357935,997570,Forbidden Area (1956),Forbidden Area,1.0,1956-10-04,0.6279
143506,256955,1012404,Sword Art Online Extra Edition (2013),Sword Art Online: Extra Edition,1.0,2013-12-31,0.8041
144050,292739,379088,Attack on Titan: Crimson Bow and Arrow (2014),Attack on Titan: Crimson Bow and Arrow,1.0,2014-11-22,2.9944
145050,72792,64004,SuckSeed (2011),Suck Seed,0.941,2011-03-17,2.101
145528,101833,569624,The Jukebox Kids (1959),The Jukebox Kids,1.0,1959-08-13,0.1846
147370,353462,753338,Tut (2015),Tut,1.0,,0.1822
148460,327016,1062718,Weekend of a Champion (2013),Weekend of a Champion,1.0,2013-10-09,3.225
148896,366492,9096,Medicinmannen,Medicine Man,0.8,1992-02-07,3.8349
149090,303950,45049,The Code,The Code,1.0,2001-09-26,10.6009
149502,187006,667189,101次求婚,101,1.0,2012-07-06,0.1432
150534,360626,509109,Prescription: Murder (1968),Prescription: Murder,1.0,1968-02-20,5.5964
150657,376823,301049,Trophy Kids,Trophy Kids,1.0,2011-01-01,0.2546
151804,376681,298714,X: Past Is Present (2015),X: Past Is Present,1.0,2015-11-20,0.8873
152031,280617,1486357,Space Cop (2016),Space Cop,1.0,2016-01-08,0.9935
152033,135097,1423192,The Cinema Snob Movie (2012),The Cinema Snob Movie,1.0,2012-09-27,0.1512
152069,379951,345912,Busco Novio Para Mi Mujer (2016),Busco novio para mi mujer,1.0,2016-02-19,0.6464
153430,293471,690737,Jill and Joy (2014),Jill and Joy,1.0,2014-01-17,0.4824
153939,200414,467629,Mockingbird Lane (2012),Mockingbird Lane,1.0,2012-10-26,0.2494
155117,198993,1556391,Area 88 (1985),Area 88,1.0,1985-07-20,0.2123
155577,341224,89874,First Position,First Position,1.0,2011-09-11,2.4741
156097,182950,182950,Blonde Dynamite (1950),Blonde Dynamite,1.0,1950-02-12,1.25
156101,33862,33862,Cell 2455 Death Row (1955),Cell 2455 Death Row,1.0,1955-04-19,0.178
156125,357096,357096,I Spit on Your Grave III: Vengeance is Mine (2015),I Spit on Your Grave III: Vengeance Is Mine,1.0,2015-10-01,5.2193
156127,116500,116500,Incendiary Blonde (1945),Incendiary Blonde,1.0,1945-07-25,0.9856
156791,200558,1469099,Kara (2012),Kara,1.0,2012-03-08,0.9227
157777,25843,502216,Karas: The Prophecy (2005),Karas: The Prophecy,1.0,2005-05-25,1.6891
158437,200120,445341,The Day of the Badman (1958),Day of the Badman,0.895,1958-01-29,0.7137
158545,396650,136394,Don't Turn the Other Cheek (1971),Don't Turn the Other Cheek,1.0,1971-12-22,0.4115
158731,94587,716894,Kony 2012 (2012),Kony 2012,1.0,2012-03-05,0.3288
158870,396918,634210,The Monkey King the Legend Begins,The Monkey King: The Legend Begins,1.0,2022-11-02,0.704
159017,250880,1612653,Adolf Hitler: The Greatest Story Never Told (2013),Adolf Hitler: The Greatest Story Never Told,1.0,2013-01-27,0.0336
159155,382088,1217239,The Division: Agent Origins (2016),The Division: Agent Origins,1.0,2016-01-19,3.3263
160179,59568,430783,Priest of Evil (2010),Priest of Evil,1.0,2010-10-29,0.8475
162006,408286,373446,Gleason,Gleason,1.0,2016-07-30,1.1261
162864,261581,575665,Louis C.K.: One Night Stand (2005),Louis C.K.: One Night Stand,1.0,2005-08-19,0.5445
163484,202213,1129185,The Vaughn Sister (2010),The Vaughn Sister,1.0,,0.0143
164099,387859,316884,Another Trip To The Moon (2015),Another Trip to the Moon,1.0,2015-01-26,2.3474
164157,43719,1465777,Small Island (2009),Small Island,1.0,,0.0143
164501,405627,272977,Joan Baez: How Sweet the Sound (2009),Joan Baez: How Sweet the Sound,1.0,2009-10-14,0.202
165395,38584,484847,Legally Blonde: The Musical (2007),Legally Blonde: The Musical,1.0,2007-10-13,0.5882
165747,422274,1121140,Exchange,Exchange,1.0,2003-08-30,0.6636
165829,269033,1454134,Penis Boy (2015),Penis Boy,1.0,2015-01-01,0.0261
165855,10614,1604540,My Best Friend's Birthday (1987),My Best Friend's Birthday,1.0,1987-06-04,0.1089
165951,358725,358725,Saint Amour (2016),Saint Amour,1.0,2016-03-02,1.1999
166215,410774,1066138,Schneewittchen (2009),Schneewittchen,1.0,2009-12-25,0.4453
166225,374319,1067164,Prinzessin Maleen (2015),Prinzessin Maleen,1.0,2015-12-26,1.0642
166227,279558,1067129,Der Teufel mit den drei goldenen Haaren (2013),Der Teufel mit den drei goldenen Haaren,1.0,2013-12-26,0.1307
166231,374247,1067159,Die Salzprinzessin (2015),Die Salzprinzessin,1.0,2015-12-25,0.8848
166289,419289,332813,Allende en su laberinto,Allende in His Maze,0.667,2014-12-11,0.3159
167024,374634,593804,The Charlie Chaplin Festival (1941),The Charlie Chaplin Festival,1.0,1941-04-01,0.1619
167102,361340,640661,A Brilliant Madness (2002),A Brilliant Madness,1.0,2002-05-28,0.2777
167312,419185,1532334,O Caseiro,O Caseiro,1.0,2022-08-16,0.0429
167424,430514,430500,Le passe-muraille (2016),Le passe-muraille,1.0,2016-12-14,0.4961
168244,414937,1549027,Maigret's Dead Man (2016),Maigret's Dead Man,1.0,2016-12-25,0.0214
169332,394063,394063,Chris Hardwick: Funcomfortable (2016),Chris Hardwick: Funcomfortable,1.0,2016-04-30,0.1103
169980,115161,1487396,Fish Heads (1980),Fish Heads,1.0,1980-12-06,0.1882
171495,409926,124818,Cosmos,Cosmos,1.0,1996-11-15,2.9047
172497,65595,1606547,T2 3-D: Battle Across Time (1996),T2 3-D: Battle Across Time,1.0,1996-04-27,0.2514
172723,26920,1008421,Assassin's Creed: Lineage (2009),Assassin's Creed: Lineage,1.0,2009-11-15,0.3043
172731,73144,1588883,Portal: No Escape (2011),Portal: No Escape,1.0,2011-07-22,0.218
174719,424643,881502,Bad Ben (2016),Bad Ben,1.0,2016-10-05,0.3645
174829,381519,1157408,Ghost in the Shell Arise - Border 5: Pyrophoric Cult (2015),Ghost in the Shell: Arise - Border 5: Pyrophoric Cult,1.0,2015-08-26,0.7929
175429,10840,1545562,On Your Mark (1995),On Your Mark,1.0,1995-07-15,0.3015
176653,429486,624479,Superman II: The Richard Donner Cut (2006),Superman II: The Richard Donner Cut,1.0,2006-11-02,0.9519
176777,270271,443746,The State Within (2006),The Making of 'The State Within',0.696,,0.1037
177501,94324,1033807,Premonitions Following an Evil Deed (1995),Premonitions Following an Evil Deed,1.0,1995-02-12,0.9268
177589,215632,1024654,The Stone,The Stone,1.0,2020-02-23,0.0552
178727,473984,471689,Everything is Free (2017),Everything Is Free,1.0,2017-09-03,0.7609
179437,468554,429727,Bad Match (2017),Bad Match,1.0,2017-08-25,1.6324
179549,431786,1067171,Prinz Himmelblau und Fee Lupine (2016),Prinz Himmelblau und Fee Lupine,1.0,2016-12-25,0.0526
179621,260498,1066132,Frau Holle (2008),Frau Holle,1.0,2008-12-25,1.3322
179623,275291,1067104,Die zertanzten Schuhe (2011),Die zertanzten Schuhe,1.0,2011-12-26,0.6658
179625,267200,1067101,Die Sterntaler (2011),Die Sterntaler,1.0,2011-12-26,4.8264
179633,314487,1020384,Das tapfere Schneiderlein (2008),Das tapfere Schneiderlein,1.0,2008-12-26,0.2687
179635,312852,1067134,Sechse kommen durch die ganze Welt (2014),Sechse kommen durch die ganze Welt,1.0,2014-12-25,0.1375
179641,288591,1066395,Der Meisterdieb (2010),Der Meisterdieb,1.0,2010-12-26,2.4854
179723,286647,1066143,Rapunzel (2009),Rapunzel,1.0,2009-12-25,2.3927
180503,335765,1573279,Pferd und Reiter Springen Über ein Hindernis (1888),Pferd und Reiter springen über ein Hindernis,1.0,,0.0168
181217,430951,646767,Doctor Who: The Return Of Doctor Mysterio (2016),Doctor Who: The Return of Doctor Mysterio,1.0,2016-12-26,0.6133
181407,489646,69239,Prosta historia o miłości,Prosta historia o miłości,1.0,2010-11-19,0.0754
182421,226879,1429463,Tales from the Crypt: From Comic Books to Television (2004),Tales from the Crypt: From Comic Books to Television,1.0,2004-10-31,1.4831
182613,31096,1025586,Batman: Dead End (2003),Batman: Dead End,1.0,2003-07-19,1.2417
182739,121249,916117,Halloween: A Cut Above The Rest (2003),Halloween: A Cut Above the Rest,1.0,2003-08-05,0.1282
182851,474505,461002,Sgt Pepper's Musical Revolution with Howard Goodall (2017),Sgt Pepper's Musical Revolution,0.75,2017-06-03,0.2238
182859,407691,798143,My Journey Through French Cinema (2016),My Journey Through French Cinema,1.0,2016-10-12,1.3779
183145,31168,1576537,Born of Hope (2009),Born of Hope,1.0,2009-12-01,0.4144
183285,444998,441742,Infoholic (2017),Infoholic,1.0,2017-03-02,0.6029
183461,488654,949785,Godless (2017),Godless,1.0,2017-04-29,1.3303
183561,230408,638187,The Good Witch's Wonder (2014),The Good Witch's Wonder,1.0,2014-10-25,2.3626
184003,479071,134215,Heroine,Heroine,1.0,2012-09-21,1.8642
184517,397586,384043,National Parks Adventures (2016),National Parks Adventure,0.98,2016-02-12,2.2437
184593,432038,1538241,Star Wars Downunder (2013),Star Wars Downunder,1.0,2013-11-18,0.078
186027,74079,40750,The Wiggles Movie (1997),The Wiggles Movie,1.0,1997-12-18,0.2689
187965,521932,870518,Sanctuary,Sanctuary,1.0,2023-03-02,4.4564
189059,268891,1066396,Des Kaisers neue Kleider (2010),Des Kaisers neue Kleider,1.0,2010-12-26,0.2521
189551,411950,1373767,Macross Dynamite Seven (1997),Macross Dynamite 7,0.85,1997-12-18,0.2074
189555,368065,1593754,Dragon Ball Z - The Fall of Men (2015),Dragon Ball Z: The Fall of Men,0.983,2015-10-31,0.0627
190165,389593,1267671,Severus Snape and the Marauders (2016),Severus Snape and the Marauders,1.0,2016-03-01,0.4617
190635,190513,1609966,How Not to Make a Movie (2013),How Not to Make a Movie,1.0,2013-04-10,0.0754
191289,58228,754538,Follies In Concert (1986),Follies: In Concert,1.0,1986-03-14,2.1403
191697,508366,1474999,Lottery,Lottery,1.0,2025-05-18,0.5444
192001,538328,1603791,His Last Vow,Sherlock: His Last Vow,0.727,2014-01-12,0.3698
192481,69593,19950,Yavarum Nalam (2009),Yavarum Nalam,1.0,2009-03-06,1.2118
195007,535484,882052,Bad Ben - The Mandela Effect (2018),Bad Ben: The Mandela Effect,0.981,2018-06-18,1.0039
195085,551874,1404419,Darth Maul: Apprentice (2016),Darth Maul: Apprentice,1.0,2016-03-05,0.6297
196689,319315,993517,Pick Me Up (2006),Pick Me Up,1.0,2006-01-20,0.4898
196973,499928,1564568,The Shivering Truth (2018),The Shivering Truth,1.0,,0.4556
197317,569293,527465,Moromete Family: On the Edge of Time (2018),Moromete Family: On the Edge of Time,1.0,2018-11-16,0.311
197479,571819,395957,Clarissa,Clarissa,1.0,1995-09-30,0.0967
198431,161552,1077060,Bosko and Honey (1932),Bosko and Honey,1.0,1932-11-19,0.4568
199129,409776,1116898,The Blues (2003),The Blues,1.0,2003-08-12,0.3398
199538,586129,594404,Leaving Neverland (2019),Leaving Neverland: ProSieben Spezial,0.654,2019-04-06,4.6842
199844,53986,1102104,Resident Evil 4D: Executer (2000),Resident Evil 4D Executer,1.0,2000-11-11,1.9954
199860,384975,1548948,Resident Evil: The Nightmare of Dante (2013),Resident Evil: The Nightmare of Dante,1.0,,0.0297
200646,576676,586044,Into the Dark: I'm Just F*cking With You (2019),I'm Just F*cking with You,0.767,2019-04-01,0.5251
200984,594750,657248,Making 'Badlands' (2013),Making Badlands,1.0,2013-03-19,0.0775
201346,595124,1515876,The Guy Who Didn't Like Musicals,The Guy Who Didn't Like Musicals: Reprised!,0.873,2025-07-11,2.5203
202689,363999,677218,Secrets of the Tower of London (2013),Secrets of the Tower of London,1.0,2013-10-27,2.2011
202691,455166,732816,Secrets of Underground London (2014),Secrets of Underground London,1.0,2014-05-21,2.2484
202693,455419,860302,Secrets of Westminster (2014),Secrets of Westminster,1.0,,0.0143
203264,253773,448025,Ivashko i Baba-Yaga (1938),Ivashko and Baba-Yaga,0.895,1938-03-21,0.599
204628,607517,761061,Elvis Presley: The Searcher (2018),Elvis Presley: The Searcher,1.0,2018-11-19,0.0643
205257,567273,698102,63 Up (2019),63 Up,1.0,2019-06-04,1.4488
206757,577625,696774,Twice,Twice,1.0,,1.21
208597,636391,612175,Punk the Capital: Building a Sound Movement,Punk the Capital: Building a Sound Movement,1.0,2019-06-29,0.1262
210909,550493,1603575,Merry Christmas Mr. Bean (1992),Merry Christmas Mr. Bean,1.0,,0.2207
211183,40170,1554412,Mortal Kombat: Rebirth (2010),Mortal Kombat: Rebirth,1.0,2010-06-08,0.5366
212661,187665,989207,The Bellboy and the Playgirls (1962),The Bellboy and the Playgirls,1.0,1962-02-12,0.396
212865,581779,1439587,Vanished (1971),Vanished,1.0,,1.3472
213053,351651,993314,The Untitled Star Wars Mockumentary (2003),The Untitled Star Wars Mockumentary,1.0,2003-06-25,0.28
214550,336589,1607437,David Lynch Cooks Quinoa (2007),David Lynch Cooks Quinoa,1.0,2007-08-14,0.3175
214718,667430,758025,Peter's To-Do List (2019),Peter's To-Do List,1.0,2019-09-17,0.9134
215263,382786,1587579,The Foundry (2007),The Foundry,1.0,2007-06-16,0.0409
215669,484874,1525550,Deep Ocean: Lights in the Abyss (2016),Deep Ocean: Lights in the Abyss,1.0,2016-08-28,0.1292
216581,690882,664847,40: The Temptation of Christ (2020),40: The Temptation of Christ,1.0,2020-04-07,0.2305
218503,662059,1606098,Dave Chappelle: The Kennedy Center Mark Twain Prize (2020),Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,0.84,2020-01-07,0.0805
218685,716754,560702,Kadakh (2020),Kadakh,1.0,2020-06-18,0.8761
218857,489298,369607,A Christmas Tail (2014),A Christmas Tail,1.0,2014-01-01,0.3912
220498,253617,763861,LEGO Marvel Super Heroes: Maximum Overload (2013),LEGO Marvel Super Heroes: Maximum Overload,1.0,2013-11-05,3.9073
220556,266360,1494221,Sticks and Stones: Investigating the Blair Witch (1999),Sticks and Stones: Investigating the Blair Witch,1.0,1999-10-26,0.0673
221670,725924,792787,PS5 - The Future of Gaming (2020),PS5 - The Future of Gaming,1.0,2020-10-01,0.7392
222507,675522,1433354,Murder Death Koreatown (2020),Murder Death Koreatown,1.0,2020-02-29,0.1596
225429,592251,847155,1964: Brazil Between Weapons and Books (2019),1964: Brazil between weapons and books,1.0,2019-07-07,0.0659
225693,685022,1160901,Burn the Witch (2020),Burn the Witch,1.0,2020-10-01,0.6141
228403,761129,761226,Welcome Home,Welcome Home,1.0,2020-11-06,1.9932
228651,576500,1498660,The Making of Annihilation (2018),The Making of Annihilation,1.0,2018-03-29,0.1198
228791,614103,1609633,Guardians of the Galaxy: Inferno (2017),Guardians of the Galaxy: Inferno,1.0,2017-08-22,0.1861
