old_tmdb_id,new_tmdb_id,query_title,matched_title,release_date,popularity
538286,1256491,criminals,Criminals,,0.0261
12773,427910,navy seals,Navy Seals,1990-07-20,1.5543
14980,377037,rose red,Rose Red,1994-01-01,0.8939
164721,18087,pride and prejudice,Pride and Prejudice,2003-12-05,1.2789
2413,432375,jesus of nazareth,Jesus of Nazareth,1942-03-26,0.2867
11944,43443,joan of arc,Joan of Arc,1948-12-22,0.556
2518,48742,hitler the rise of evil,Mein Kampf,2009-08-01,1.6403
36763,748230,salem s lot,Salem's Lot,2024-10-03,3.7186
64699,63587,powwow highway,Powwow Highway,1989-02-24,0.3007
69234,9833,the phantom of the opera,The Phantom of the Opera,2004-12-08,5.777
11343,748230,salem s lot,Salem's Lot,2024-10-03,3.7186
185441,26672,the thief and the cobbler,The Thief and the Cobbler,1993-09-23,0.8952
42611,1598076,le chagrin et la pitie,The Sorrow and the Pity,1969-09-18,0.135
10700,415253,darwin s nightmare,Darwin's Nightmare,2005-01-21,5.7495
37525,1311031,a k,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,165.1493
24269,570595,the temptations,Russian Nymphet: Temptation,2004-11-28,3.776
41758,515047,empire falls,The Fall of the American Empire,2018-06-28,0.5191
17919,396079,human trafficking,Human Trafficking,2013-10-25,0.7152
27138,27137,sybil,Sybil,2007-05-28,1.5239
244797,12225,cashback,Cashback,2007-01-17,3.8837
53094,394385,welt am draht,Rainer Werner Fassbinder's World on a Wire: Looking Ahead to Today,2010-02-18,0.0979
31653,369775,the prince of pennsylvania,The Prince of Pennsylvania,1988-10-10,0.2678
118309,835940,john adams,John Adams: The Gospel According to the Other Mary,2017-01-28,1.5888
17800,33221,into the west,Into the West,1992-10-23,3.4503
12224,1161229,dinotopia,Dinotopia,2002-02-12,1.6375
9795,37933,earthsea,Tales from Earthsea,2006-07-29,3.4805
18884,1214931,nuremberg,Nuremberg,2025-11-06,38.6895
14301,337374,dr horrible s sing along blog,The Making of Dr. Horrible's Sing-Along Blog,2007-12-19,0.3626
38870,422802,komedia malzenska,Comedy of Marriage,1994-05-07,0.4985
168643,1413343,xiii,XIII,2018-04-25,0.227
45560,575659,berlin alexanderplatz,Berlin Alexanderplatz,2020-06-25,3.1502
62128,1147215,raiders of the lost ark the adaptation,Raiders of the Lost Ark: The Adaptation,2003-05-30,0.7168
67479,1105772,roots,Roots,2018-03-29,0.8726
65990,870404,meteor,Meteor,2021-09-01,2.7838
25950,291624,mysterious island,Mysterious Island,1951-09-13,0.4441
141714,403924,wild china,China's Wild West,2009-01-18,0.2121
13989,1472855,24 redemption,24: Redemption,2008-11-28,0.8043
41522,401461,the phantom,The Phantom,1943-12-24,2.7191
47477,15267,the beast,The Beast,1988-09-14,4.8271
11788,653364,elizabeth i,Elizabeth Is Missing,2019-12-08,1.9301
